sim,obs
0.6445,0.6938
0.6229,0.6809
0.6064,0.6738
0.5857,0.6573
0.5699,0.6398
0.5621,0.6257
0.5633,0.6168
0.5563,0.6057
0.5504,0.5973
0.55,0.5934
0.5533,0.5927
0.5541,0.5918
0.5488,0.589
0.5507,0.5885
1.35,1.334
1.267,1.384
1.026,1.243
0.8206,1.08
0.6785,0.9337
0.5901,0.8172
0.5475,0.7343
0.5306,0.676
0.5547,0.6394
0.5454,0.6067
0.529,0.5824
0.5453,0.5706
0.5378,0.5603
0.5218,0.5507
0.5127,0.5457
0.6673,0.5887
0.6451,0.5788
0.5913,0.5658
