date(YYYY-m-d),streamflow
2016-12-02,0.748187757
2016-12-03,0.687021972
2016-12-04,0.658477939
2016-12-05,0.658477939
2016-12-06,0.635595834
2016-12-07,0.586017939
2016-12-08,0.328603773
2016-12-09,0.20737633
2016-12-10,0.46216224
2016-12-11,0.499558811
2016-12-12,0.481824415
2016-12-13,0.496011932
2016-12-14,0.553028805
2016-12-15,0.650850571
2016-12-16,0.60508636
2016-12-17,0.563402638
2016-12-18,0.91661057
2016-12-19,0.69517741
2016-12-20,0.584605499
2016-12-21,0.667799429
2016-12-22,8.913563137
2016-12-23,4.353874386
2016-12-24,2.960950789
2016-12-25,2.252508261
2016-12-26,2.006246203
2016-12-27,2.394062557
2016-12-28,1.850938425
2016-12-29,1.555594867
2016-12-30,1.434191995
2016-12-31,1.31192557
2017-01-01,1.705731818
2017-01-02,1.72728445
2017-01-03,1.72728445
2017-01-04,1.697796479
2017-01-05,1.614247228
2017-01-06,1.609332566
2017-01-07,1.604579048
2017-01-08,1.650096737
2017-01-09,1.580811461
2017-01-10,1.490656668
2017-01-11,1.39423562
2017-01-12,1.38062416
2017-01-13,1.323053623
2017-01-14,1.253181328
2017-01-15,1.172319974
2017-01-16,1.160021315
2017-01-17,1.123125338
2017-01-18,1.114926232
2017-01-19,1.147722656
2017-01-20,1.176419527
2017-01-21,1.155921762
2017-01-22,1.13952355
2017-01-23,1.078030255
2017-01-24,1.046562472
2017-01-25,1.007227744
2017-01-26,1.003294271
2017-01-27,1.038695527
2017-01-28,1.01509469
2017-01-29,1.058362891
2017-01-30,1.082129808
2017-01-31,1.046562472
2017-02-01,1.019028163
2017-02-02,0.98756038
2017-02-03,0.792089107
2017-02-04,0.754264647
2017-02-05,0.912068299
2017-02-06,0.968561937
2017-02-07,0.964795694
2017-02-08,0.934665754
2017-02-09,0.934665754
2017-02-10,0.904535814
2017-02-11,0.889639292
2017-02-12,0.850063559
2017-02-13,0.835672384
2017-02-14,0.814085621
2017-02-15,0.846465766
2017-02-16,0.860856941
2017-02-17,0.893237086
2017-02-18,0.942198239
2017-02-19,0.964795694
2017-02-20,1.099523412
2017-02-21,1.248916783
2017-02-22,1.127389882
2017-02-23,1.603865935
2017-02-24,1.42783994
2017-02-25,1.17674951
2017-02-26,1.090328914
2017-02-27,1.074096782
2017-02-28,1.026895108
2017-03-01,1.038695527
2017-03-02,1.070163309
2017-03-03,1.022961635
2017-03-04,0.995427326
2017-03-05,0.983626907
2017-03-06,0.983626907
2017-03-07,0.983626907
2017-03-08,0.957263209
2017-03-09,0.908302056
2017-03-10,0.900769571
2017-03-11,0.893237086
2017-03-12,0.893237086
2017-03-13,0.871650323
2017-03-14,0.741757072
2017-03-15,0.776037578
2017-03-16,0.817683414
2017-03-17,0.824879002
2017-03-18,0.839270178
2017-03-19,0.817683414
2017-03-20,0.806890033
2017-03-21,0.814085621
2017-03-22,0.857259147
2017-03-23,0.893237086
2017-03-24,0.860856941
2017-03-25,0.853661353
2017-03-26,1.088887917
2017-03-27,1.18921316
2017-03-28,1.143623103
2017-03-29,1.078030255
2017-03-30,1.042629
2017-03-31,0.983626907
2017-04-01,1.063126765
2017-04-02,1.297466356
2017-04-03,1.244652239
2017-04-04,1.110826679
2017-04-05,1.094593458
2017-04-06,3.215462547
2017-04-07,3.238975177
2017-04-08,2.630596332
2017-04-09,2.221501201
2017-04-10,1.99628171
2017-04-11,2.461792879
2017-04-12,2.708725263
2017-04-13,2.160284921
2017-04-14,1.922524591
2017-04-15,2.023247209
2017-04-16,1.885724191
2017-04-17,2.091624451
2017-04-18,3.559506745
2017-04-19,2.871903193
2017-04-20,2.409553881
2017-04-21,2.243076514
2017-04-22,2.082729232
2017-04-23,1.880649241
2017-04-24,1.717455127
2017-04-25,1.571304426
2017-04-26,1.385215639
2017-04-27,1.305339612
2017-04-28,1.248916783
2017-04-29,1.160021315
2017-04-30,1.09852802
2017-05-01,1.107059286
2017-05-02,0.999360798
2017-05-03,0.968561937
2017-05-04,0.893237086
2017-05-05,0.745867388
2017-05-06,0.491646607
2017-05-07,0.456101625
2017-05-08,0.43696202
2017-05-09,0.429292642
2017-05-10,0.467038542
2017-05-11,0.480709689
2017-05-12,0.424179724
2017-05-13,0.393502216
2017-05-14,0.413953888
2017-05-15,0.375607002
2017-05-16,0.375607002
2017-05-17,0.368477052
2017-05-18,0.581720227
2017-05-19,0.806890033
2017-05-20,0.701989456
2017-05-21,0.563696366
2017-05-22,0.500025201
2017-05-23,0.445164708
2017-05-24,0.594263614
2017-05-25,1.215957545
2017-05-26,1.063292845
2017-05-27,0.875248117
2017-05-28,0.803461982
2017-05-29,0.762325376
2017-05-30,0.625205504
2017-05-31,0.572426772
2017-06-01,1.067220942
2017-06-02,3.166247734
2017-06-03,1.736044608
2017-06-04,1.2754878
2017-06-05,1.058528971
2017-06-06,0.840116305
2017-06-07,1.716962296
2017-06-08,1.938563401
2017-06-09,1.385867541
2017-06-10,1.136583292
2017-06-11,0.886715293
2017-06-12,0.698561406
2017-06-13,0.557876095
2017-06-14,0.497115065
2017-06-15,0.550368451
2017-06-16,0.561833086
2017-06-17,0.431849101
2017-06-18,0.368477052
2017-06-19,0.344710551
2017-06-20,0.344710551
2017-06-21,0.356593802
2017-06-22,0.375607002
2017-06-23,0.416510347
2017-06-24,0.461570084
2017-06-25,0.66618176
2017-06-26,1.134475797
2017-06-27,1.08362453
2017-06-28,0.945964482
2017-06-29,0.875248117
2017-06-30,0.782893679
2017-07-01,0.72461682
2017-07-02,0.987067873
2017-07-03,22.81085634
2017-07-04,23.42107266
2017-07-05,7.795967084
2017-07-06,3.738854039
2017-07-07,2.815394757
2017-07-08,4.79817221
2017-07-09,5.696254042
2017-07-10,10.12337163
2017-07-11,14.43823306
2017-07-12,7.66728706
2017-07-13,5.490322074
2017-07-14,4.369467619
2017-07-15,4.94815272
2017-07-16,19.70027183
2017-07-17,16.58144818
2017-07-18,9.011779921
2017-07-19,6.595740767
2017-07-20,5.331314701
2017-07-21,4.525939917
2017-07-22,4.181552795
2017-07-23,4.727382253
2017-07-24,6.090017615
2017-07-25,6.897305974
2017-07-26,5.102478897
2017-07-27,4.104900586
2017-07-28,3.722597255
2017-07-29,5.863787606
2017-07-30,5.017365177
2017-07-31,5.564644959
2017-08-01,7.513064764
2017-08-02,5.597748464
2017-08-03,4.848187653
2017-08-04,4.116344044
2017-08-05,3.702678859
2017-08-06,3.41260692
2017-08-07,2.473410921
2017-08-08,1.710192203
2017-08-09,1.997652803
2017-08-10,15.99159338
2017-08-11,37.10453972
2017-08-12,16.43325952
2017-08-13,8.606716899
2017-08-14,6.925175999
2017-08-15,6.340537862
2017-08-16,9.566132239
2017-08-17,10.90167137
2017-08-18,10.66129701
2017-08-19,9.110765841
2017-08-20,8.373446502
2017-08-21,8.14039489
2017-08-22,7.766355428
2017-08-23,7.766355428
2017-08-24,5.824766571
2017-08-25,0
